id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,adult,video
864873,Hypnotic,2021-10-27,6.036,661,10.3508,en,"53,18,27",False,False
508138,Burn,2019-08-23,6.036,320,5.0314,en,"53,80,28",False,False
451184,Wasp Network,2020-01-29,6.036,392,2.92,en,"18,36,53",False,False
253235,And So It Goes,2014-07-10,6.036,469,2.582,en,"35,18,10749",False,False
37958,Immortals,2011-11-10,6.0,2711,3.9518,en,"14,28,18",False,False
9493,Twins,1988-12-09,6.0,2391,6.5848,en,35,False,False
1642,The Net,1995-07-28,6.0,1445,2.6349,en,"80,18,9648,53,28",False,False
443319,Phoenix Forgotten,2017-04-21,6.0,302,1.9688,en,"27,9648,878",False,False
328595,Parallels,2015-03-01,6.035,376,0.7309,en,878,False,False
59457,Womb,2010-07-15,6.035,389,2.7601,en,"10749,878",False,False
43209,Ong Bak 3,2010-05-05,6.0,459,4.2348,th,"28,12,36",False,False
11317,My Girl 2,1994-02-11,6.0,521,2.0507,en,"35,10751",False,False
6623,The Peacemaker,1997-09-26,6.0,1069,5.1866,en,"28,53",False,False
6217,Cat People,1982-04-02,6.035,541,2.9237,en,"53,27",False,False
2791,The Chronicles of Riddick: Dark Fury,2004-06-15,6.0,328,0.6524,en,"16,28,878,53",False,False
